[2025-01-17T22:22:56.346+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-17T22:22:56.373+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spaceflight_data_ingest_v2.fetch_events manual__2025-01-17T22:14:24.591389+00:00 [queued]>
[2025-01-17T22:22:56.385+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spaceflight_data_ingest_v2.fetch_events manual__2025-01-17T22:14:24.591389+00:00 [queued]>
[2025-01-17T22:22:56.386+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 4
[2025-01-17T22:22:56.405+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_events> on 2025-01-17 22:14:24.591389+00:00
[2025-01-17T22:22:56.416+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=573) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-17T22:22:56.418+0000] {standard_task_runner.py:72} INFO - Started process 575 to run task
[2025-01-17T22:22:56.418+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'spaceflight_data_ingest_v2', 'fetch_events', 'manual__2025-01-17T22:14:24.591389+00:00', '--job-id', '102', '--raw', '--subdir', 'DAGS_FOLDER/spaceflight_data_ingest_v2.py', '--cfg-path', '/tmp/tmpiggqx6xh']
[2025-01-17T22:22:56.420+0000] {standard_task_runner.py:105} INFO - Job 102: Subtask fetch_events
[2025-01-17T22:22:56.492+0000] {task_command.py:467} INFO - Running <TaskInstance: spaceflight_data_ingest_v2.fetch_events manual__2025-01-17T22:14:24.591389+00:00 [running]> on host 59ff16f1d4fb
[2025-01-17T22:22:56.837+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spaceflight_data_ingest_v2' AIRFLOW_CTX_TASK_ID='fetch_events' AIRFLOW_CTX_EXECUTION_DATE='2025-01-17T22:14:24.591389+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-17T22:14:24.591389+00:00'
[2025-01-17T22:22:56.838+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-01-17T22:22:56.839+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
